description,Maker_Model
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Midsize,4dr SUV,Subaru B9 Tribeca",Subaru B9 Tribeca
"regular unleaded,AUTOMATIC,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"premium unleaded (required),MANUAL,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"regular unleaded,MANUAL,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"regular unleaded,MANUAL,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"premium unleaded (required),MANUAL,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"regular unleaded,AUTOMATIC,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"premium unleaded (required),MANUAL,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"regular unleaded,MANUAL,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"premium unleaded (required),AUTOMATIC,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"regular unleaded,AUTOMATIC,all wheel drive,Crossover,Compact,Crew Cab Pickup,Subaru Baja",Subaru Baja
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,AUTOMATED_MANUAL,front wheel drive,Diesel,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"premium unleaded (recommended),MANUAL,front wheel drive,Performance,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"regular unleaded,AUTOMATIC,front wheel drive,nan,Compact,Convertible,Volkswagen Beetle Convertible",Volkswagen Beetle Convertible
"diesel,AUTOMATED_MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"diesel,MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"diesel,AUTOMATED_MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"diesel,AUTOMATED_MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"diesel,MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"diesel,AUTOMATED_MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"diesel,MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"diesel,MANUAL,front wheel drive,Hatchback,Diesel,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"premium unleaded (recommended),AUTOMATED_MANUAL,front wheel drive,Hatchback,Performance,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,AUTOMATIC,front wheel drive,Hatchback,Compact,2dr Hatchback,Volkswagen Beetle",Volkswagen Beetle
"regular unleaded,MANUAL,front wheel drive,Performance,Compact,Coupe,Chevrolet Beretta",Chevrolet Beretta
